Generated at : 19/07/24 21:13:44
Account : SVUSG
Start date : 18/07/24 21:13
End date : 19/07/24 21:13



Closing Ref,Closed,Opening Ref,Opened,Market,Period,Direction,Size,Opening,Closing,Trade Ccy.,P/L,Funding,Borrowing,Dividends,LR Prem.,Others,Comm. Ccy.,Comm.,Total
6MT8HUAE,19-07-2024 11:39:47,6HUXXPA4,18-07-2024 17:33:13,Meta Platforms Inc (All Sessions),-,BUY,12,470.0,476.75,USD,120.43,-1.90,0.00,0.00,0.00,0.00,AUD,-25.11,93.42
6MT8HUAE,19-07-2024 11:39:47,6HUX3ZA4,18-07-2024 17:34:00,Meta Platforms Inc (All Sessions),-,BUY,88,470.3,476.75,USD,843.89,-13.99,0.00,0.00,0.00,0.00,AUD,-42.24,787.66
859346~9681,19-07-2024 17:47:58,6P4RGYA4,19-07-2024 17:01:17,CleanSpark Inc (All Sessions),-,BUY,500,17.49,17.755,USD,197.10,0.00,0.00,0.00,0.00,0.00,AUD,-37.54,159.56
859346~9681,19-07-2024 17:47:58,6NRUW2A4,19-07-2024 14:39:35,CleanSpark Inc (All Sessions),-,BUY,500,17.4,17.755,USD,264.04,0.00,0.00,0.00,0.00,0.00,AUD,-37.57,226.47
859340~10395,19-07-2024 18:36:59,6PV58UA4,19-07-2024 16:32:14,CrowdStrike Holdings Inc (All Sessions),-,SELL,50,311.3234,302.4,USD,663.95,0.00,0.00,0.00,0.00,0.00,AUD,-45.09,618.86
6QSM85A4,19-07-2024 19:38:38,6QSM78A4,19-07-2024 19:12:35,Amazon.com Inc (All Sessions),-,BUY,200,183.08,182.1825,USD,-269.97,0.00,0.00,0.00,0.00,0.00,AUD,-45.10,-315.07
859343~11269,19-07-2024 20:35:53,6QWXRVA4,19-07-2024 19:52:22,Amazon.com Inc (All Sessions),-,BUY,200,182.75,182.84,USD,26.79,0.00,0.00,0.00,0.00,0.00,AUD,-45.11,-18.32
