Generated at : 19/07/24 18:40:22
Account : SVUSG
Start date : 16/07/24 18:40
End date : 19/07/24 18:40



Closing Ref,Closed,Opening Ref,Opened,Market,Period,Direction,Size,Opening,Closing,Trade Ccy.,P/L,Funding,Borrowing,Dividends,LR Prem.,Others,Comm. Ccy.,Comm.,Total
856755~13173,16-07-2024 20:43:08,5PPLMWAV,12-07-2024 14:43:14,Madrigal Pharmaceuticals Inc,-,BUY,30,295.0,277.004,USD,-805.70,-11.17,0.00,0.00,0.00,0.00,AUD,-44.64,-861.51
856751~13143,16-07-2024 20:43:38,5VPB7EA4,15-07-2024 14:41:52,AppLovin Corporation,-,BUY,120,85.7,86.40696,USD,125.35,-3.46,0.00,0.00,0.00,0.00,AUD,-33.44,88.45
856751~13143,16-07-2024 20:43:38,55KV8VA5,16-07-2024 19:27:34,AppLovin Corporation,-,BUY,120,86.91,86.40696,USD,-90.09,0.00,0.00,0.00,0.00,0.00,AUD,-33.59,-123.68
6AC439A5,17-07-2024 15:05:04,594U7BBD,17-07-2024 14:47:57,Iris Energy Limited,-,BUY,1000,12.45,12.19,USD,-388.01,0.00,0.00,0.00,0.00,0.00,AUD,-59.68,-447.69
859338~8421,17-07-2024 16:50:10,6AVSCDA4,17-07-2024 15:47:36,Iris Energy Limited,-,BUY,1000,12.1,11.48,USD,-926.34,0.00,0.00,0.00,0.00,0.00,AUD,-59.75,-986.09
859344~11188,17-07-2024 20:40:53,6BX46XA4,17-07-2024 18:11:34,Ouster Inc,-,BUY,1000,15.13,15.01021,USD,-179.01,0.00,0.00,0.00,0.00,0.00,AUD,-59.78,-238.79
6F8NCPA4,18-07-2024 14:57:48,6F4QD2A4,18-07-2024 14:42:38,NVIDIA Corp (All Sessions),-,SELL,100,119.88,120.5,USD,-92.57,0.00,0.00,0.00,0.00,0.00,AUD,-44.78,-137.35
859339~8223,18-07-2024 15:35:09,6GBL2TA4,18-07-2024 15:00:15,Coinbase Global Inc (All Sessions),-,BUY,50,251.48,245.1206,USD,-474.21,0.00,0.00,0.00,0.00,0.00,AUD,-44.76,-518.97
859345~8912,18-07-2024 15:55:18,6GPJ3SA4,18-07-2024 15:35:35,NVIDIA Corp (All Sessions),-,SELL,100,119.03,119.5899,USD,-83.57,0.00,0.00,0.00,0.00,0.00,AUD,-33.57,-117.14
859345~8912,18-07-2024 15:55:18,6GPKKQA4,18-07-2024 15:36:38,NVIDIA Corp (All Sessions),-,SELL,100,118.87,119.5899,USD,-107.45,0.00,0.00,0.00,0.00,0.00,AUD,-33.56,-141.01
6G6QC7A4,18-07-2024 16:25:56,6GZ75BA4,18-07-2024 15:59:05,NVIDIA Corp (All Sessions),-,SELL,200,118.88,117.1,USD,526.48,0.00,0.00,0.00,0.00,0.00,AUD,-44.80,481.68
6MT8HUAE,19-07-2024 11:39:47,6HUXXPA4,18-07-2024 17:33:13,Meta Platforms Inc (All Sessions),-,BUY,12,470.0,476.75,USD,120.43,-1.90,0.00,0.00,0.00,0.00,AUD,-25.11,93.42
6MT8HUAE,19-07-2024 11:39:47,6HUX3ZA4,18-07-2024 17:34:00,Meta Platforms Inc (All Sessions),-,BUY,88,470.3,476.75,USD,843.89,-13.99,0.00,0.00,0.00,0.00,AUD,-42.24,787.66
859346~9681,19-07-2024 17:47:58,6P4RGYA4,19-07-2024 17:01:17,CleanSpark Inc (All Sessions),-,BUY,500,17.49,17.755,USD,197.10,0.00,0.00,0.00,0.00,0.00,AUD,-37.54,159.56
859346~9681,19-07-2024 17:47:58,6NRUW2A4,19-07-2024 14:39:35,CleanSpark Inc (All Sessions),-,BUY,500,17.4,17.755,USD,264.04,0.00,0.00,0.00,0.00,0.00,AUD,-37.57,226.47
859340~10395,19-07-2024 18:36:59,6PV58UA4,19-07-2024 16:32:14,CrowdStrike Holdings Inc (All Sessions),-,SELL,50,311.3234,302.4,USD,663.95,0.00,0.00,0.00,0.00,0.00,AUD,-45.09,618.86
