Generated at : 16/07/24 21:34:51
Account : SVUSG
Start date : 15/07/24 21:34
End date : 16/07/24 21:34



Closing Ref,Closed,Opening Ref,Opened,Market,Period,Direction,Size,Opening,Closing,Trade Ccy.,P/L,Funding,Borrowing,Dividends,LR Prem.,Others,Comm. Ccy.,Comm.,Total
856751~11507,16-07-2024 17:27:26,5359K8A4,16-07-2024 15:31:18,CleanSpark Inc (All Sessions),-,BUY,500,18.91,19.65,USD,547.52,0.00,0.00,0.00,0.00,0.00,AUD,-44.84,502.68
856755~13173,16-07-2024 20:43:08,5PPLMWAV,12-07-2024 14:43:14,Madrigal Pharmaceuticals Inc,-,BUY,30,295.0,277.004,USD,-805.70,-11.17,0.00,0.00,0.00,0.00,AUD,-44.64,-861.51
856751~13143,16-07-2024 20:43:38,5VPB7EA4,15-07-2024 14:41:52,AppLovin Corporation,-,BUY,120,85.7,86.40696,USD,125.35,-3.46,0.00,0.00,0.00,0.00,AUD,-33.44,88.45
856751~13143,16-07-2024 20:43:38,55KV8VA5,16-07-2024 19:27:34,AppLovin Corporation,-,BUY,120,86.91,86.40696,USD,-90.09,0.00,0.00,0.00,0.00,0.00,AUD,-33.59,-123.68
